name,category,material,shape,x,y,z,w_or_r,d_or_axis,h,cutlist_part,lumber,note
ShortLeg_WallSideStud_3,frame,stud,box,142.5,114.0,5.5,1.5,3.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
ShortLeg_RoomTopRail,frame,rail,box,108.0,36.0,34.0,3.5,84.0,1.5,"Top rail, short leg sides (84in)",2x4 SPF,"Horizontal 2x4, 84.0in long"
ShortLeg_WallTopRail,frame,rail,box,140.5,36.0,34.0,3.5,84.0,1.5,"Top rail, short leg sides (84in)",2x4 SPF,"Horizontal 2x4, 84.0in long"
ShortLeg_RoomBottomRail,frame,rail,box,108.0,36.0,4.0,3.5,84.0,1.5,"Bottom rail, short leg sides (84in)",2x4 SPF,"Horizontal 2x4, 84.0in long"
ShortLeg_WallBottomRail,frame,rail,box,140.5,36.0,4.0,3.5,84.0,1.5,"Bottom rail, short leg sides (84in)",2x4 SPF,"Horizontal 2x4, 84.0in long"
ShortLeg_TopStretcher_0,frame,stretcher,box,111.5,38.5,34.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
ShortLeg_BottomStretcher_0,frame,stretcher,box,111.5,38.5,4.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
ShortLeg_TopStretcher_1,frame,stretcher,box,111.5,74.0,34.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
ShortLeg_BottomStretcher_1,frame,stretcher,box,111.5,74.0,4.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
ShortLeg_TopStretcher_2,frame,stretcher,box,111.5,80.5,34.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
